goos: windows
goarch: amd64
pkg: github.com/267H/orderedform
cpu: AMD Ryzen 9 9950X3D 16-Core Processor          
BenchmarkSet_Plain_10-32             	12632083	        93.91 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Plain_10-32             	12665067	        91.26 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Plain_10-32             	13424740	        92.03 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Plain_10-32             	12760743	        92.76 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Plain_10-32             	12405498	        96.13 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Plain_10-32             	13450652	        95.89 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Special_10-32           	11078245	        98.47 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Special_10-32           	12283364	        96.32 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Special_10-32           	11506508	        97.01 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Special_10-32           	13302427	        99.81 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Special_10-32           	 9407713	       108.2 ns/op	     344 B/op	       2 allocs/op
BenchmarkSet_Special_10-32           	11463091	       102.1 ns/op	     344 B/op	       2 allocs/op
BenchmarkURLEncode_Plain_3-32        	40278592	        31.12 ns/op	      48 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_3-32        	39783709	        31.61 ns/op	      48 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_3-32        	38963821	        31.41 ns/op	      48 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_3-32        	39963632	        31.33 ns/op	      48 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_3-32        	39286426	        31.77 ns/op	      48 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_3-32        	39305858	        31.89 ns/op	      48 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_10-32       	13950957	        82.53 ns/op	     128 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_10-32       	14575346	        82.65 ns/op	     128 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_10-32       	14971273	        82.04 ns/op	     128 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_10-32       	15038384	        81.94 ns/op	     128 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_10-32       	13950811	        83.03 ns/op	     128 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_10-32       	14803647	        84.55 ns/op	     128 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_100-32      	 1389722	       873.1 ns/op	    1408 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_100-32      	 1367667	       878.8 ns/op	    1408 B/op	       1 allocs/op
BenchmarkURLEncode_Plain_100-32      	 1391882	       866.2 ns/op	    1408 B/op	       1 allocs/op
